"14eme","14éme"
"verbatims","verbatim"
"verger","vergers"
"verisure","vérisure"
"veritas","véritas"
"vernes","verne"
"vernisseuse","vernisseur"
"verone","vérone"
"verrier","verrière"
"verrou","verrous"
"versements","versement"
"verser","versement"
"vestiaire","vestiaires"
"vetoquinol","vétoquinol"
"viadeo","viadéo"
"viaducs","viaduc"
"viandes","viande"
"vibrante","vibrant"
"vibrants","vibrant"
"vibrateurs","vibrateur"
"vibratoires","vibratoire"
"vice-president","vice-président"
"vice-présidente","vice-président"
"victoires","victoire"
"vidanges","vidange"
"videotex","vidéotex"
"vieil","vieille"
"viennoiseries","viennoiserie"
"viet","viêt"
"vietnam","viêtnam"
"vietnamien","vietnamienne"
"vigeo","vigéo"
"vigneron","vignerons"
"vigueurs","vigueur"
"vijeo","vijéo"
"vilebrequins","vilebrequin"
"villageois","villageoise"
"villageoise","villageoises"
"villages","village"
"villas","villa"
"vin","vins"
"violences","violence"
"violons","violon"
"viral","virale"
"virales","virale"
"viraux","viral"
"virement","virements"
"viseur","viseurs"
"visité","visités"
"visitée","visitées"
"visseries","visserie"
"vissé","vissés"
"visteon","vistéon"
"vitamine","vitamines"
"viticulteurs","viticulteur"
"vitraux","vitrail"
"vitrée","vitrées"
"viviers","vivier"
"voilier","voiliers"
"voilures","voilure"
"volailles","volaille"
"volcans","volcan"
"vole","volé"
"voler","volé"
"volontariats","volontariat"
"volt","volte"
"volumiques","volumique"
"volumétrique","volumétriques"
"voute","voûte"
"voyage","voyages"
"voyages","voyager"
"voyagé","voyager"
"voûtes","voûte"
"vraquiers","vraquier"
"vsphere","vsphère"
"vécus","vécu"
"végétarien","végétariens"
"végétarienne","végétariennes"
"végétariennes","végétariens"
"véhiculé","véhiculée"
"vénézuélien","vénézuélienne"
"vérandas","véranda"
"vérificatrice","vérificateur"
"walters","walter"
"websphere","websphère"
"week-ends","week-end"
"wikipedia","wikipédia"
"williams","william"
"xenon","xénon"
"yaourt","yaourts"
"yoke","yoké"
"zenith","zénith"
"zircon","zircone"
"zoe","zoé"
"zonages","zonage"
"zurich","zürich"
"âgé","âgée"
"ébénistes","ébéniste"
"échographie","échographies"
"échéanciers","échéancier"
"éclectiques","éclectique"
"écluses","écluse"
"économisés","économisé"
"écrivaine","écrivain"
"écrivains","écrivain"
"écurie","écuries"
"éditorial","éditoriale"
"éditoriaux","éditorial"
"éducateurs","éducateur"
"éducatrice","éducateur"
"églises","église"
"égyptien","égyptienne"
"élagueur","élaguer"
"élargies","élargie"
"élastomère","élastomères"
"électoral","électorale"
"électorales","électorale"
"électoraux","électorale"
"électricienne","électricien"
"électro-aimants","électro-aimant"
"électrochimiques","électrochimique"
"électrode","électrodes"
"électrogène","électrogènes"
"électrolyte","électrolytes"
"électrolytiques","électrolytique"
"électronicienne","électronicien"
"électrophorèses","électrophorèse"
"élites","élite"
"éloigné","éloignés"
"élue","élu"
"élysées","élysée"
"élévations","élévation"
"élévatrice","élévateur"
"émaillé","émaillés"
"émerger","émergent"
"émetteurs","émetteur"
"émotionnels","émotionnel"
"énergies","énergie"
"épaisse","épaisses"
"épanoui","épanouis"
"éphémères","éphémère"
"épiceries","épicerie"
"épilations","épilation"
"épis","épi"
"éponges","éponge"
"époxydes","époxyde"
"éprouvé","éprouvée"
"éprouvées","éprouvée"
"épurateur","épurateurs"
"épurateurs","épurer"
"épurée","épurées"
"équation","équations"
"équestre","équestres"
"équilibré","équilibrer"
"équilibrée","équilibrées"
"équilibrés","équilibré"
"équin","équine"
"équins","équin"
"étage","étages"
"étalon","étalons"
"étanche","étanches"
"étangs","étang"
"étier","étions"
"étoffé","étoffer"
"étoilé","étoiles"
"étoilée","étoilé"
"étoilés","étoilé"
"étroit","étroite"
"étroits","étroit"
"étude","études"
"étudiée","étudié"
"étui","étuis"
"évaluateurs","évaluateur"
"évaluatrice","évaluateur"
"évaporateurs","évaporateur"
"évent","évents"
"éventuel","éventuelle"
"événementielle","événementiel"
"événementiels","événementiel"
